desired_area,recoded,neighboorhood
Manhattan - East Side,Manhattan,
Queens,Queens,
Neighborhood,Manhattan,1
Manhattan,Manhattan,1
,,
Sunnyside Queens,Queens,
anyplace,Any,
L.I. (Queens) or Bronx,"Bronx, Queens",
Brooklyn or Manhattan,"Brooklyn, Manhattan",
Any,Any,
"Brooklyn, Manhattan ","Brooklyn, Manhattan",
"Manhattan, Queens ","Manhattan, Queens",
Manhattan - this area,Manhattan,1
L.I. Queens,Queens,
Mid Manhattan or Upper Manhattan,Manhattan,
Midtown Manhattan,Manhattan,
Sunnyside L.I.,Queens,
Astoria or Manhattan,"Manhattan, Queens",
Jersey,New Jersey,
Manhattan (West Side),Manhattan,1
Long Island City Queens,Queens,
Same,Manhattan,1
West side,Manhattan,1
Bronx. Washington Heights,"Bronx, Manhattan",
Manhattan or queens,"Manhattan, Queens",
Mid Manhattan,Manhattan,
West Side or Village,Manhattan,1
Manhattan or Brooklyn,"Brooklyn, Manhattan",
"Mid Manhattan, West",Manhattan,1
Mid Manhattan up to 104,Manhattan,
Long Island,Long Island,
Staten Island,Staten Island,
"Manhattan, bronx ","Bronx, Manhattan",
Queens - Manhattan,"Manhattan, Queens",
Brooklyn,Brooklyn,
Bonx or L. I. (Queens),"Bronx, Queens",
Connecticut,Connecticut,
Manhattan or bronx,"Bronx, Manhattan",
Manhattan or Long Island,"Long Island, Manhattan",
any,Any,
bronx,Bronx,
This area - Manhattan,Manhattan,1
West Bronx,Bronx,
Bronx-Washington Heights,"Manhattan, Bronx",
Manhattan-Brooklyn,"Brooklyn, Manhattan",
Mid Manhattan - West Manhattan - Long Island,"Long Island, Manhattan",1
Queens - Astoria - Bay Side,Queens,
Manhattan - Mid or West,Manhattan,1
West Side Manhattan,Manhattan,1
Manhattan - West Side,Manhattan,1
Same - Manhattan,Manhattan,1
?,Undecided/?,
Manhattan or Queens,"Manhattan, Queens",
[unintelligible],Unintelligible,
"Bronx, Manhattan","Bronx, Manhattan",
[Unintelligible],Unintelligible,
queens,Queens,
"Manhattan, Long Island, bronx ","Bronx, Long Island, Manhattan",
staten island,Staten Island,
bronx or Long Island,"Bronx, Long Island",
